Incident ID,Offence Code,CR Number,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Place,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Start_Date_Time,End_Date_Time,Police District Number
201122566,1305,17010108,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - NON-FAMILY-OTHER WEAPON,SILVER SPRING,8600 BLK  PINEY BRANCH RD,SILVER SPRING,MD,20901,Residence - Yard,8600,,PINEY BRANCH,,RD,2/24/2017 21:23,,3D
201122567,2399,17010071,1,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,18400 BLK  GARDENIA WAY,GAITHERSBURG,MD,20886,Residence - Single Family,18400,,GARDENIA,,WAY,2/24/2017 17:43,,6D
201122568,5311,17010115,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,MONTGOMERY VILLAGE,18200 BLK  WOODFIELD RD,GAITHERSBURG,MD,20877,Liquor Store - Beer & Wine,18200,,WOODFIELD,,RD,2/24/2017 22:45,2/24/2017 23:00,6D
201122569,3550,17010124,1,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,CITY OF TAKOMA PARK,600 BLK  HOUSTON AVE,TAKOMA PARK,MD,20912,Residence - Apartment/Condo,600,,HOUSTON,,AVE,2/25/2017 0:10,2/25/2017 0:10,8D
201122570,3572,17010051,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - AMPHETAMINE - POSSESS,SILVER SPRING,12000 BLK  CHERRY HILL RD,SILVER SPRING,MD,20904,Retail - Department/Discount Store,12000,,CHERRY HILL,,RD,2/24/2017 16:12,,3D
201122570,2701,17010051,1,Crime Against Property,Embezzlement,EMBEZZLE - BUSINESS PROP,SILVER SPRING,12000 BLK  CHERRY HILL RD,SILVER SPRING,MD,20904,Retail - Department/Discount Store,12000,,CHERRY HILL,,RD,2/24/2017 16:12,,3D
201122571,3562,17010076,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,8000 BLK  13TH ST,SILVER SPRING,MD,20910,Street - In vehicle,8000,,13TH,,ST,2/24/2017 18:46,2/24/2017 18:46,3D
201122573,1212,17010107,1,Crime Against Property,Robbery,ROBBERY - CARJACKING - ARMED,GERMANTOWN,19200 BLK  LIBERTY MILL RD,GERMANTOWN,MD,20874,Parking Lot - Church,19200,,LIBERTY MILL,,RD,2/24/2017 21:30,,5D
201122574,3562,17010129,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,2100 BLK  LANIER DR,SILVER SPRING,MD,20910,Street - In vehicle,2100,,LANIER,,DR,2/25/2017 0:27,,3D
201122575,5404,17010134,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,GERMANTOWN,13400 BLK  GREAT SENECA HWY,GERMANTOWN,MD,20874,Street - In vehicle,13400,,GREAT SENECA,,HWY,2/25/2017 1:10,,5D
201122576,3562,17010135,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,BETHESDA,4900 BLK  ST ELMO AVE,BETHESDA,MD,20814,Parking Garage - County,4900,,ST ELMO,,AVE,2/25/2017 1:25,,2D
201122577,9101,17009935,1,Other,All Other Offenses,SUDDEN DEATH,ROCKVILLE,1100 BLK  CHURCHVIEW PL,POTOMAC,MD,20854,Residence - Single Family,1100,,CHURCHVIEW,,PL,2/24/2017 4:45,2/24/2017 4:45,1D
201122578,4899,17010131,1,Crime Against Society,All Other Offenses,OBSTRUCT POLICE (DESCRIBE OFFENSE),BETHESDA,7700 BLK  SCOTLAND DR,POTOMAC,MD,20854,Street - Residential,7700,,SCOTLAND,,DR,2/25/2017 0:30,2/25/2017 0:55,2D
201122578,2203,17010131,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-NONRESIDENTIAL,BETHESDA,7700 BLK  SCOTLAND DR,POTOMAC,MD,20854,Government Building,7700,,SCOTLAND,,DR,2/25/2017 0:30,2/25/2017 0:55,2D
201122578,2901,17010131,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - BUSINESS,BETHESDA,7700 BLK  SCOTLAND DR,POTOMAC,MD,20854,Government Building,7700,,SCOTLAND,,DR,2/25/2017 0:30,2/25/2017 0:55,2D
201122579,2305,17010125,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,3800 BLK  SWAN HOUSE CT,BURTONSVILLE,MD,20866,Parking Lot - Residential,3800,,SWAN HOUSE,,CT,2/24/2017 22:45,2/24/2017 23:40,3D
201122580,5311,17010086,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,SILVER SPRING,900 BLK  SILVER SPRING AVE,SILVER SPRING,MD,20910,Street - Commercial,900,,SILVER SPRING,,AVE,2/24/2017 19:57,2/24/2017 19:57,3D
201122581,1399,17010141,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,WHEATON,2800 BLK  URBANA DR,SILVER SPRING,MD,20902,Residence - Single Family,2800,,URBANA,,DR,2/25/2017 2:35,,4D
201122582,1399,17010142,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,WHEATON,12100 BLK  SHOREFIELD CT,SILVER SPRING,MD,20902,Parking Lot - Residential,12100,,SHOREFIELD,,CT,2/24/2017 23:00,2/25/2017 2:00,4D
201122583,9042,17010133,1,Other,All Other Offenses,SUICIDE - ATTEMPT,ROCKVILLE,400 BLK  FEATHER ROCK DR,ROCKVILLE,MD,20850,Residence - Single Family,400,,FEATHER ROCK,,DR,2/25/2017 1:02,2/25/2017 10:02,1D
201122584,9021,17010136,1,Not a Crime,Runaway,JUVENILE - RUNAWAY,GERMANTOWN,29000 BLK  RIDGE RD,MOUNT AIRY,MD,21771,Residence - Single Family,29000,,RIDGE,,RD,2/25/2017 0:54,,5D
201122585,3699,17010112,1,Crime Against Person,Fondling,SEX OFFENSE - FONDLING,BETHESDA,8900 BLK  ROCKVILLE PIK,BETHESDA,MD,20889,Hotel/Motel/Etc.,8900,,ROCKVILLE,,PIK,2/24/2017 20:58,,2D
201122586,9099,17010149,1,Crime Against Society,All Other Offenses,ALL OTHER OFFENSES,GERMANTOWN,19900 BLK  GATESHEAD CIR,GERMANTOWN,MD,20876,Residence - Driveway,19900,,GATESHEAD,,CIR,2/25/2017 3:38,,5D
201122587,1204,17010113,1,Crime Against Property,Robbery,ROBBERY - STREET-GUN,BETHESDA,6600 BLK  HILLANDALE RD,CHEVY CHASE,MD,20814,Residence - Yard,6600,,HILLANDALE,,RD,2/24/2017 22:10,,2D
201122588,2303,17010146,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,CITY OF TAKOMA PARK,1300 BLK  UNIVERSITY BLV E,,MD,20912,Retail - Drug Store/Pharmacy,1300,,UNIVERSITY,E,BLV,2/25/2017 2:43,2/25/2017 4:30,8D
201122589,1206,17010121,1,Crime Against Property,Robbery,ROBBERY - STREET-STRONG-ARM,SILVER SPRING,8600 BLK  FENTON ST,SILVER SPRING,MD,20910,Street - Commercial,8600,,FENTON,,ST,2/24/2017 23:15,2/24/2017 23:22,3D
201122590,9199,17010152,1,Other,All Other Offenses,POLICE INFORMATION,ROCKVILLE,300 BLK N WASHINGTON ST,ROCKVILLE,MD,20850,Street - In vehicle,300,N,WASHINGTON,,ST,2/25/2017 2:44,,1D
201122591,3550,17009969,1,Crime Against Society,Drug Equipment Violations,DRUGS - NARCOTIC EQUIP - POSSESS,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902,Air/Bus/Train/Metro Terminal,11100,,VEIRS MILL,,RD,2/24/2017 10:25,,4D
201122591,2303,17009969,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,WHEATON,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902,Grocery/Supermarket,11100,,VEIRS MILL,,RD,2/24/2017 10:25,,4D
201122592,2202,17009998,1,Crime Against Property,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,WHEATON,2000 BLK  GEORGIAN WOODS PL,SILVER SPRING,MD,20902,Residence - Apartment/Condo,2000,,GEORGIAN WOODS,,PL,2/24/2017 12:50,2/24/2017 13:30,4D
201122593,2305,17010154,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,800 BLK  UNIVERSITY BLV E,SILVER SPRING,MD,20903,Parking Lot - Residential,800,,UNIVERSITY,E,BLV,2/24/2017 21:00,2/25/2017 7:00,3D
201122594,2699,17009962,1,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),WHEATON,2300 BLK  RANDOLPH RD,SILVER SPRING,MD,20902,Residence - Single Family,2300,,RANDOLPH,,RD,2/24/2017 9:47,,4D
201122595,2305,17010155,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,BETHESDA,4600 BLK  CHESTNUT ST,BETHESDA,MD,20814,Street - Residential,4600,,CHESTNUT,,ST,2/24/2017 22:00,2/25/2017 8:00,2D
201122596,2604,17010156,1,Crime Against Property,Impersonation,FRAUD - IMPERSONATION,GERMANTOWN,11400 BLK  APPLEDOWRE WAY,GERMANTOWN,MD,20876,Other/Unknown,11400,,APPLEDOWRE,,WAY,8/4/2016 0:00,2/21/2017 23:59,5D
201122597,2502,17009983,1,Crime Against Property,Counterfeiting/Forgery,FORGERY OF OTHER,MONTGOMERY VILLAGE,200 BLK  RUSSELL AVE,GAITHERSBURG,MD,20877,Residence - Nursing Home,200,,RUSSELL,,AVE,2/24/2017 10:05,,6D
201122599,2305,17010161,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,WHEATON,12600 BLK  VALLEYWOOD DR,SILVER SPRING,MD,20906,Street - Residential,12600,,VALLEYWOOD,,DR,2/24/2017 17:00,2/25/2017 8:00,4D
201122601,2305,17010177,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,GERMANTOWN,20300 BLK  CIDER BARREL DR,GERMANTOWN,MD,20876,Parking Lot - Residential,20300,,CIDER BARREL,,DR,2/21/2017 19:00,2/22/2017 8:00,5D
201122602,9021,17010160,1,Not a Crime,Runaway,JUVENILE - RUNAWAY,MONTGOMERY VILLAGE,800 BLK  QUINCE ORCHARD BLV,GAITHERSBURG,MD,20878,Residence - Apartment/Condo,800,,QUINCE ORCHARD,,BLV,2/24/2017 7:00,,6D
201122603,9199,17010180,1,Other,All Other Offenses,POLICE INFORMATION,SILVER SPRING,1700 BLK  HAMPSHIRE GREEN LA,SILVER SPRING,MD,20903,Other/Unknown,1700,,HAMPSHIRE GREEN,,LA,2/25/2017 9:54,,3D
201122604,2304,17010182,1,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,WHEATON,13000 BLK  FLACK ST,SILVER SPRING,MD,20906,Street - Residential,13000,,FLACK,,ST,2/23/2017 6:00,2/25/2017 11:00,4D
